,EPOXY STRUCTURE,EEW,Flame_retardant,Flame_retardant_AdditionAmount(wt%),Curing_agent ,Curing_agent_AdditionAmount(wt%),Curing_Tem1,Curing_Time1,Curing_Tem2,Curing_Time2,Curing_Tem3,Curing_Time3,Curing_Tem4,Curing_Time4,Curing_Tem5,Curing_Time5,Curing_Tem6,Curing_Time6,Curing_Tem7,Curing_Time8,Curing_Tem9,Curing_Time9,Curing_Tem10,Curing_Time10,Curing_Pressure,Curing_UV,Other_Material_1,Other_Material_AdditionAmount_1 (wt%),Other_Material_2,Other_Material_AdditionAmount_2 (wt%),Other_Material_3,Other_Material_AdditionAmount_3 (wt%)
14,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,O=C(CCCCCCCC1C(CC2C(CCCCC)O2)O1)OC(COC(CCCCCCCC3C(CC4C(CCCCC)O4)O3)=O)COC(CCCCCCCC5C(CC6C(CCCCC)O6)O5)=O,11.65,CC1(CC(CC(C1)(C)CN)N)C,18.43,80 ,2.5 ,120 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,C1C(O1)COCCOCC2CO2,6.99,,0 ,,0 
15,C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,100 ,C[Si](O[H])(C)O,4.52,NC(C)COCC(N)C,35.71,80 ,2 ,120 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CO[Si](CCCOCC1CO1)(OC)OC,0.24,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,0.0079,,0 
16,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,O=[Ti]=O,13.45,C1CC(CCC1CC2CCC(CC2)N)N,19.3,80 ,2 ,120 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CC(C)(COCC1CO1)COCC2CO2,13.45,,0 ,,0 
17,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(OCC(O)C)COCC(OCC(OCC(O)C)C)COCC(OCC(O)C)C,10.28,CC1(CC(CC(C1)(C)CN)N)C,16.05,80 ,2 ,120 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,C1C(O1)COCCOCC2CO2,7.37,,0 ,,0 
18,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,21.64,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,17.96,80 ,2 ,120 ,1.5 ,150 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,C1C=CCC(C1C(=O)OCC2CO2)C(=O)OCC3CO3,6.04,,0 ,,0 
19,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,20.31,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,18.77,80 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CC(C)(COCC1CO1)COCC2CO2,6.09,,0 ,,0 
20,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,C1=CC=C(C=C1)P(=O)(O)O,10.78,CC1(CC(CC(C1)(C)CN)N)C,16.54,80 ,2 ,120 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CC(C)(COCC1CO1)COCC2CO2,7.27,,0 ,,0 
21,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,15.1,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,22.4,120 ,2 ,180 ,2 ,220 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
22,C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,100 ,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N.O,32.69,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,19.23,120 ,2 ,140 ,2 ,170 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
23,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,C1CSSC1CCCCC(=O)O,20.26,C1CC(CCC1CC2CCC(CC2)N)N,17.59,80 ,2 ,120 ,2 ,150 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CC(C)(COCC1CO1)COCC2CO2,12.43,,0 ,,0 
,C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,100 ,C[Si](O[H])(C)O,15,NC(C)COCC(N)C,30,80 ,2 ,120 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CO[Si](CCCOCC1CO1)(OC)OC,1.84,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,0.021,[H]P1(=O)OC2=C(C=CC=C2)C2=C1C=CC=C2,5 
